,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
42,quant,43,QNT,Quant,12072738.0000000000000000,14881364.0000000000000000,1320576236.4514455038890356,10717878.0836983453745669,109.3849826320628762,0.1004411208484092,107.1491435796210843,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675
43,helium,44,HNT,Helium,158930380.2377235600000000,223000000.0000000000000000,1269716154.7797448893316132,4501157.9390022880782434,7.9891343170546716,11.8389911637401823,7.7099408514109538,https://explorer.helium.com/
44,binance-usd,45,BUSD,BUSD,1195609129.1081715000000000,,1196250882.6476450451499696,19787238.8757362574847280,1.0005367586478302,-0.0338154831570604,1.0141638761407406,https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53
45,maker,46,MKR,Maker,918885.4880085800000000,1005577.0000000000000000,1184594379.5956255700737081,34641969.4275771453156804,1289.1643137850540744,-2.1207268174570617,1288.6915333327809759,https://etherscan.io/token/Maker
46,hedera-hashgraph,47,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,1169968623.4994579129120156,46895230.0263433600024636,0.0788773590889577,-0.0661214469590938,0.0764309438926699,https://hash-hash.info/
47,fantom,48,FTM,Fantom,2803634835.5265927000000000,3175000000.0000000000000000,1157550099.9062142947087449,85092044.5022530747947212,0.4128747742887841,3.0561132364001659,0.3999775557646141,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
48,wemix,49,WEMIX,WEMIX,347291976.4579462000000000,,1153601915.6456577079030229,52337593.1051100573083090,3.3217062121944763,-8.5240631959282650,3.3960082115141665,https://scope.klaytn.com/token/0x5096db80b21ef45230c9e423c373f1fc9c0198dd?tabId=kctTransfer
49,flow,50,FLOW,Flow,1476732732.0000000000000000,,1149414577.3145630360779236,18642849.1841756703317507,0.7783497666215223,-1.6237048992394128,0.7555114651016230,https://flowscan.org/
50,ftx-token,51,FTT,FTX Token,328895103.8132070000000000,352170015.0000000000000000,1124767045.1117584240321841,84450886.9810500689308351,3.4198351756265721,-5.9072155263607410,3.5266753761552378,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
51,kucoin-token,52,KCS,KuCoin Token,96732986.3190287500000000,170118638.0000000000000000,1060344073.2523849047767356,4442868.4528860316376159,10.9615562756982743,8.5045968226910376,10.1770319052129000,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
